datetime,open,high,low,close,vol,amount,ma5,ma10
2017/10/26 9:44,8.52,8.54,8.52,8.52,279,238000,8.522,8.537777778
2017/10/26 9:45,8.53,8.53,8.52,8.53,212,180700,8.52,8.534444444
2017/10/26 9:46,8.53,8.53,8.52,8.53,387,329900,8.522,8.53
2017/10/26 9:47,8.52,8.53,8.52,8.52,252,214800,8.526,8.526666667
2017/10/26 9:48,8.52,8.52,8.51,8.52,279,237600,8.524,8.523333333
2017/10/26 9:49,8.51,8.58,8.51,8.53,436,372300,8.522,8.52
2017/10/26 9:50,8.57,8.57,8.54,8.55,253,216400,8.53,8.525555556
2017/10/26 9:51,8.56,8.58,8.56,8.57,276,236300,8.536,8.532222222
2017/10/26 9:52,8.57,8.58,8.57,8.57,279,239300,8.546,8.536666667
2017/10/26 9:53,8.57,8.57,8.56,8.57,304,260400,8.556,8.542222222
2017/10/26 9:54,8.56,8.56,8.55,8.55,139,119000,8.566,8.545555556
2017/10/26 9:55,8.55,8.55,8.52,8.52,896,764200,8.562,8.547777778
2017/10/26 9:56,8.52,8.53,8.52,8.53,230,196200,8.554,8.547777778
2017/10/26 9:57,8.53,8.55,8.52,8.55,775,662000,8.546,8.548888889
2017/10/26 9:58,8.53,8.53,8.53,8.53,137,116800,8.538,8.551111111
2017/10/26 9:59,8.53,8.54,8.53,8.54,70,59700,8.532,8.546666667
2017/10/26 10:00,8.54,8.56,8.53,8.53,328,280500,8.53,8.544444444
2017/10/26 10:01,8.54,8.55,8.54,8.54,48,41000,8.534,8.541111111
2017/10/26 10:02,8.54,8.54,8.53,8.53,69,58900,8.536,8.537777778
2017/10/26 10:03,8.54,8.55,8.53,8.54,58,49500,8.538,8.535555556
2017/10/26 10:04,8.54,8.54,8.54,8.54,233,199000,8.54,8.534444444
2017/10/26 10:05,8.53,8.54,8.53,8.53,230,196300,8.538,8.535555556
2017/10/26 10:06,8.53,8.54,8.53,8.54,60,51200,8.536,8.535555556
2017/10/26 10:07,8.53,8.54,8.53,8.54,327,279200,8.534,8.535555556
2017/10/26 10:08,8.53,8.55,8.53,8.54,68,58000,8.532,8.535555556
2017/10/26 10:09,8.55,8.55,8.55,8.55,56,47900,8.534,8.536666667
2017/10/26 10:10,8.55,8.57,8.55,8.55,121,103600,8.538,8.537777778
2017/10/26 10:11,8.55,8.56,8.55,8.56,87,74400,8.542,8.538888889
2017/10/26 10:12,8.56,8.57,8.56,8.56,50,42800,8.548,8.541111111
2017/10/26 10:13,8.57,8.57,8.56,8.57,289,247600,8.556,8.544444444
2017/10/26 10:14,8.57,8.57,8.56,8.56,103,88200,8.56,8.548888889
2017/10/26 10:15,8.56,8.56,8.55,8.55,192,164300,8.562,8.552222222
2017/10/26 10:16,8.55,8.56,8.55,8.55,34,29100,8.562,8.554444444
2017/10/26 10:17,8.55,8.55,8.55,8.55,263,224800,8.56,8.556666667
2017/10/26 10:18,8.55,8.55,8.53,8.53,624,532500,8.556,8.556666667
