datetime,open,high,low,close,vol,amount,change,changerate,amplitude,openinterest,ma1,ma2,ma3,ma4
2020/12/11 11:30,9.0285,9.0383,8.9896,9.0285,10755,9953901,0,0,0.0054,14,9.0383,9.0655,9.0865,9.203
2020/12/11 13:10,9.009,9.0577,8.9993,9.048,13319,12352873,0.0195,0.0022,0.0065,13,9.0344,9.0587,9.0831,9.1977
2020/12/11 13:20,9.0577,9.0675,9.009,9.0285,8978,8323783,-0.0195,-0.0022,0.0065,13,9.0344,9.0529,9.0792,9.191
2020/12/11 13:30,9.0285,9.0285,8.9701,8.9798,15444,14262055,-0.0487,-0.0054,0.0065,13,9.0227,9.0412,9.0753,9.184
2020/12/11 13:40,8.9798,9.0188,8.9798,9.0188,10015,9250241,0.039,0.0043,0.0043,13,9.0207,9.0334,9.0728,9.178
2020/12/11 13:50,9.0188,9.0383,8.9896,8.9896,5973,5523914,-0.0292,-0.0032,0.0054,13,9.0129,9.0256,9.0665,9.1707
2020/12/11 14:00,8.9896,9.0285,8.9701,8.9701,11662,10769324,-0.0195,-0.0022,0.0065,13,8.9974,9.0159,9.0582,9.1626
2020/12/11 14:10,8.9701,9.009,8.9603,8.9896,14087,12988943,0.0195,0.0022,0.0054,13,8.9896,9.012,9.0519,9.1551
2020/12/11 14:20,8.9896,8.9993,8.9506,8.9506,22634,20839781,-0.039,-0.0043,0.0054,13,8.9837,9.0032,9.0431,9.1469
2020/12/11 14:30,8.9506,9.009,8.9506,9.009,9785,9019038,0.0584,0.0065,0.0065,13,8.9818,9.0013,9.0388,9.1404
2020/12/11 14:40,8.9993,9.0577,8.9896,9.048,13521,12536863,0.039,0.0043,0.0076,13,8.9935,9.0032,9.0344,9.1342
2020/12/11 14:50,9.048,9.0675,9.009,9.009,15389,14285359,-0.039,-0.0043,0.0065,13,9.0013,8.9993,9.029,9.1271
2020/12/11 15:00,9.0285,9.0285,9.009,9.0285,12607,11680636,0.0195,0.0022,0.0022,15,9.009,8.9993,9.0261,9.1204
2020/12/14 9:40,9.0285,9.0675,9.009,9.0285,16454,15262941,0,0,0.0065,13,9.0246,9.0042,9.0227,9.1141
2020/12/14 9:50,9.0285,9.0772,9.0285,9.0383,10600,9851395,0.0097,0.0011,0.0054,13,9.0305,9.0061,9.0198,9.1086
2020/12/14 10:00,9.0285,9.048,9.009,9.009,8492,7871738,-0.0292,-0.0032,0.0043,13,9.0227,9.0081,9.0168,9.103
2020/12/14 10:10,9.0188,9.0577,9.009,9.0285,7278,6747735,0.0195,0.0022,0.0054,13,9.0266,9.0139,9.0149,9.0982
2020/12/14 10:20,9.0285,9.0383,8.9896,8.9993,12911,11945756,-0.0292,-0.0032,0.0054,13,9.0207,9.0149,9.0134,9.093
2020/12/14 10:30,9.009,9.0383,8.9993,9.0383,4036,3738560,0.039,0.0043,0.0043,13,9.0227,9.0237,9.0134,9.0884
2020/12/14 10:40,9.0285,9.048,9.0188,9.0383,4876,4522810,0,0,0.0032,13,9.0227,9.0266,9.0139,9.0837
2020/12/14 10:50,9.0285,9.048,9.0188,9.048,4963,4606450,0.0097,0.0011,0.0032,13,9.0305,9.0266,9.0149,9.0795
2020/12/14 11:00,9.048,9.0675,9.0285,9.0675,4494,4174475,0.0195,0.0022,0.0043,13,9.0383,9.0324,9.0159,9.0753
2020/12/14 11:10,9.0675,9.0675,9.0383,9.0577,3357,3121013,-0.0097,-0.0011,0.0032,13,9.05,9.0353,9.0173,9.0728
2020/12/14 11:20,9.0383,9.048,9.0285,9.048,2531,2347939,-0.0097,-0.0011,0.0022,13,9.0519,9.0373,9.0207,9.0719
2020/12/14 11:30,9.0383,9.0772,9.0285,9.0675,3490,3246860,0.0195,0.0022,0.0054,14,9.0577,9.0402,9.0232,9.0711
2020/12/14 13:10,9.0675,9.0675,9.0285,9.048,6669,6195518,-0.0195,-0.0021,0.0043,13,9.0577,9.0441,9.0261,9.0701
2020/12/14 13:20,9.048,9.048,9.0285,9.0285,4608,4274770,-0.0195,-0.0022,0.0022,13,9.05,9.0441,9.029,9.0685
2020/12/14 13:30,9.0285,9.048,9.0285,9.048,2774,2574694,0.0195,0.0022,0.0022,13,9.048,9.049,9.0319,9.0676
2020/12/14 13:40,9.048,9.0577,9.0285,9.0285,2798,2595962,-0.0195,-0.0022,0.0032,13,9.0441,9.048,9.0358,9.0655
2020/12/14 13:50,9.0383,9.048,9.0188,9.0188,4603,4267629,-0.0097,-0.0011,0.0032,13,9.0344,9.0461,9.0363,9.0638
2020/12/14 14:00,9.0188,9.0383,9.009,9.0188,6258,5794968,0,0,0.0032,13,9.0285,9.0431,9.0349,9.0616
2020/12/14 14:10,9.0188,9.0383,9.009,9.0285,2782,2578448,0.0097,0.0011,0.0032,13,9.0285,9.0392,9.0358,9.0597
2020/12/14 14:20,9.0383,9.048,9.0188,9.0383,5918,5489788,0.0097,0.0011,0.0032,13,9.0266,9.0373,9.0363,9.0582
2020/12/14 14:30,9.0383,9.0577,9.0383,9.048,3024,2808709,0.0097,0.0011,0.0022,13,9.0305,9.0373,9.0373,9.0568
2020/12/14 14:40,9.048,9.0772,9.0383,9.0675,7174,6675311,0.0195,0.0022,0.0043,13,9.0402,9.0373,9.0388,9.0556
2020/12/14 14:50,9.0577,9.087,9.0577,9.0577,10762,10018885,-0.0097,-0.0011,0.0032,13,9.048,9.0383,9.0412,9.0548
2020/12/14 15:00,9.0577,9.0675,9.048,9.0675,9054,8423926,0.0097,0.0011,0.0022,15,9.0558,9.0422,9.0431,9.0542
2020/12/15 9:40,9.0577,9.0577,9.0383,9.0577,9477,8805442,-0.0097,-0.0011,0.0021,13,9.0597,9.0431,9.0461,9.053
2020/12/15 9:50,9.048,9.0577,9.0285,9.048,7077,6570165,-0.0097,-0.0011,0.0032,13,9.0597,9.0451,9.0465,9.0517
2020/12/15 10:00,9.048,9.048,9.0188,9.0383,7598,7044800,-0.0097,-0.0011,0.0032,13,9.0538,9.047,9.0465,9.0506
2020/12/15 10:10,9.0383,9.0577,9.009,9.0188,8587,7959761,-0.0195,-0.0022,0.0054,13,9.0461,9.047,9.0451,9.0488
2020/12/15 10:20,9.0188,9.0577,9.0188,9.048,3945,3660718,0.0292,0.0032,0.0043,13,9.0422,9.049,9.0441,9.0477
2020/12/15 10:30,9.048,9.1064,9.0383,9.0967,9941,9257524,0.0487,0.0054,0.0075,13,9.05,9.0548,9.0461,9.0475
2020/12/15 10:40,9.0967,9.1259,9.0772,9.0967,15794,14765550,0,0,0.0054,13,9.0597,9.0597,9.0485,9.0482
2020/12/15 10:50,9.0967,9.1064,9.0675,9.0675,6444,6007731,-0.0292,-0.0032,0.0043,13,9.0655,9.0597,9.0485,9.0482
2020/12/15 11:00,9.0675,9.0772,9.048,9.0577,6261,5822561,-0.0097,-0.0011,0.0032,13,9.0733,9.0597,9.049,9.0472
2020/12/15 11:10,9.0577,9.0772,9.048,9.0577,2655,2470747,0,0,0.0032,13,9.0753,9.0587,9.0504,9.0459
2020/12/15 11:20,9.0577,9.0675,9.048,9.0577,2549,2371698,0,0,0.0022,13,9.0675,9.0587,9.0509,9.0449
2020/12/15 11:30,9.0577,9.0675,9.0383,9.0577,2903,2698252,0,0,0.0032,14,9.0597,9.0597,9.0524,9.0438
2020/12/15 13:10,9.0675,9.0675,9.0383,9.0383,3130,2908012,-0.0195,-0.0022,0.0032,13,9.0538,9.0597,9.0534,9.0428
